date,,windows xp,windows vista,windows 7,windows 8,windows 8.1,Week
Jul  2015,2015-07-26,6,2,40,22,13,2015-07-26 - 2015-08-01
Jul  2015,2015-07-19,6,1,34,19,10,2015-07-19 - 2015-07-25
Jul  2015,2015-07-12,5,1,34,18,10,2015-07-12 - 2015-07-18
Jul  2015,2015-07-05,5,1,32,18,9,2015-07-05 - 2015-07-11
Jun  2015,2015-06-28,5,1,34,19,10,2015-06-28 - 2015-07-04
Jun  2015,2015-06-21,5,1,34,19,10,2015-06-21 - 2015-06-27
Jun  2015,2015-06-14,5,1,34,19,10,2015-06-14 - 2015-06-20
Jun  2015,2015-06-07,5,1,34,19,10,2015-06-07 - 2015-06-13
May  2015,2015-05-31,5,1,36,20,10,2015-05-31 - 2015-06-06
May  2015,2015-05-24,5,1,33,19,9,2015-05-24 - 2015-05-30
May  2015,2015-05-17,6,1,34,19,10,2015-05-17 - 2015-05-23
May  2015,2015-05-10,6,1,34,19,10,2015-05-10 - 2015-05-16
May  2015,2015-05-03,6,1,33,19,9,2015-05-03 - 2015-05-09
Apr  2015,2015-04-26,6,1,34,19,10,2015-04-26 - 2015-05-02
Apr  2015,2015-04-19,6,1,36,20,10,2015-04-19 - 2015-04-25
Apr  2015,2015-04-12,6,1,37,20,10,2015-04-12 - 2015-04-18
Apr  2015,2015-04-05,6,1,35,19,10,2015-04-05 - 2015-04-11
Mar  2015,2015-03-29,6,1,36,21,10,2015-03-29 - 2015-04-04
Mar  2015,2015-03-22,6,1,36,21,10,2015-03-22 - 2015-03-28
Mar  2015,2015-03-15,6,1,38,21,10,2015-03-15 - 2015-03-21
Mar  2015,2015-03-08,6,1,36,21,10,2015-03-08 - 2015-03-14
Mar  2015,2015-03-01,6,1,36,21,10,2015-03-01 - 2015-03-07
Feb  2015,2015-02-22,6,1,37,21,10,2015-02-22 - 2015-02-28
Feb  2015,2015-02-15,7,1,38,21,10,2015-02-15 - 2015-02-21
Feb  2015,2015-02-08,7,1,40,23,11,2015-02-08 - 2015-02-14
Feb  2015,2015-02-01,7,1,40,22,11,2015-02-01 - 2015-02-07
Jan  2015,2015-01-25,7,1,39,23,11,2015-01-25 - 2015-01-31
Jan  2015,2015-01-18,7,1,40,23,11,2015-01-18 - 2015-01-24
Jan  2015,2015-01-11,7,1,39,22,11,2015-01-11 - 2015-01-17
Jan  2015,2015-01-04,7,1,38,23,11,2015-01-04 - 2015-01-10
Dec  2014,2014-12-28,7,2,39,24,12,2014-12-28 - 2015-01-03
Dec  2014,2014-12-21,7,2,41,25,12,2014-12-21 - 2014-12-27
Dec  2014,2014-12-14,7,1,39,22,10,2014-12-14 - 2014-12-20
Dec  2014,2014-12-07,7,1,41,22,11,2014-12-07 - 2014-12-13
Nov  2014,2014-11-30,7,1,40,23,11,2014-11-30 - 2014-12-06
Nov  2014,2014-11-23,7,1,40,24,11,2014-11-23 - 2014-11-29
Nov  2014,2014-11-16,7,1,41,23,10,2014-11-16 - 2014-11-22
Nov  2014,2014-11-09,7,2,40,24,10,2014-11-09 - 2014-11-15
Nov  2014,2014-11-02,7,1,41,23,10,2014-11-02 - 2014-11-08
Oct  2014,2014-10-26,7,1,40,24,10,2014-10-26 - 2014-11-01
Oct  2014,2014-10-19,7,2,41,24,10,2014-10-19 - 2014-10-25
