,FF 6/10,FF 6/11,FF 6/12,FF 6/15,FF 6/16,FF 6/20,FF 6/21,FF 6/22,FF 6/25
4/1/2015,263700,270600,273200,273300,277700,286300,271000,258900,285200
3/1/2015,343000,322000,364000,339000,366000,320000,360000,370000,374000
2/1/2015,537000,393000,400000,426000,551000,397000,395000,402000,409000
1/1/2015,495000,394000,397000,499000,388000,492000,393000,599000,404000
12/1/2014,539000,538000,605000,569000,583000,575000,598000,599000,648000
11/1/2014,573000,629000,693000,658000,630000,638000,687000,674000,819000
10/1/2014,434000,678000,725000,739000,823000,1030000,475000,763000,733000
9/1/2014,949000,764000,793000,713000,939000,1050000,475000,833000,733000
8/1/2014,1130000,747000,805000,800000,853000,896000,752000,775000,935000
7/1/2014,851000,862000,742000,1150000,1150000,778000,770000,989000,933000
6/1/2014,804000,959000,914000,926000,994000,820000,808000,954000,996000
5/1/2014,912000,788000,936000,868000,843000,818000,808000,946000,839000
4/1/2014,1020000,829000,921000,905000,902000,862000,851000,1060000,1150000
3/1/2014,833000,1050000,992000,1080000,1140000,889000,1140000,511000,1060000
2/1/2014,863000,1100000,1020000,978000,964000,953000,890000,1140000,1010000
1/1/2014,1090000,881000,1030000,1050000,964000,955000,1160000,1010000,1100000
12/1/2013,1130000,1110000,1180000,1080000,1130000,1040000,950000,936000,1270000
11/1/2013,1160000,1140000,1210000,1280000,1030000,1020000,988000,1240000,1300000
10/1/2013,1180000,1170000,1190000,517000,1240000,1010000,977000,1240000,1200000
9/1/2013,1180000,954000,1200000,517000,1290000,1050000,1020000,995000,1020000
8/1/2013,969000,1230000,1310000,1230000,1240000,1040000,1010000,1190000,1190000
7/1/2013,1040000,989000,979000,1070000,1170000,1040000,1240000,600000,1050000
6/1/2013,1050000,1230000,690000,1190000,1210000,1120000,1050000,600000,1390000
5/1/2013,1210000,1250000,690000,561000,1210000,1070000,1240000,600000,1050000
4/1/2013,1070000,1300000,1210000,1180000,1430000,1060000,1190000,624000,1070000
3/1/2013,1010000,1160000,1270000,1190000,1350000,1080000,1090000,1360000,1450000
2/1/2013,1290000,1130000,1240000,1300000,1320000,1110000,1070000,1270000,1400000
1/1/2013,1030000,1320000,1030000,1250000,1310000,1180000,1220000,642000,1300000
12/1/2012,1040000,1140000,1420000,1260000,1410000,1200000,1230000,1270000,1120000
11/1/2012,1050000,1340000,799000,1230000,1130000,1120000,1140000,1300000,1130000
10/1/2012,1350000,1160000,1450000,1380000,1360000,1150000,1160000,1270000,1350000
9/1/2012,1130000,1270000,1070000,1280000,1450000,1130000,1100000,668000,1220000
8/1/2012,1080000,1280000,1080000,1400000,1140000,1150000,1170000,1290000,1370000
7/1/2012,1170000,1260000,1110000,1440000,1580000,1270000,1310000,1330000,1260000
6/1/2012,1140000,1120000,1350000,1300000,1570000,1210000,1310000,1160000,1270000
5/1/2012,1110000,1120000,1500000,1300000,1430000,1270000,1150000,1360000,1270000
4/1/2012,1170000,1120000,1500000,1440000,1400000,1270000,1220000,1160000,1260000
3/1/2012,1190000,1320000,1220000,1460000,1430000,1230000,1230000,702000,1600000
2/1/2012,1200000,1320000,1230000,1480000,1200000,1300000,1340000,1400000,1210000
1/1/2012,1130000,1330000,1230000,1480000,1200000,1250000,1340000,1190000,1290000
