Date,Chrome,Firefox,Internet Explorer,Safari,Opera
3/1/2015,49.19,16.96,18.06,10.4,1.65
2/1/2015,48.71,16.53,18.91,10.21,1.63
1/1/2015,48.15,16.96,19.28,10.28,1.58
12/1/2014,46.13,16.34,22.3,10.3,1.43
11/1/2014,48.06,16.74,19.6,10.63,1.43
10/1/2014,47.63,17.04,19.3,10.99,1.33
9/1/2014,45.58,17.44,20.46,11.21,1.39
8/1/2014,46.26,17.5,20.31,10.81,1.47
7/1/2014,45.28,17.52,21.38,10.6,1.39
6/1/2014,45.46,17.95,20.98,10.3,1.37
5/1/2014,45.6,18.72,20.78,10.02,1.35
4/1/2014,45.22,18.62,21.43,9.79,1.39
3/1/2014,43.66,18.75,22.58,9.91,1.38
2/1/2014,43.85,19.24,22.58,9.68,1.34
1/1/2014,43.68,18.92,22.86,9.74,1.3
12/1/2013,43.92,18.95,23.24,9.14,1.31
11/1/2013,41.87,18.15,27.31,8.5,1.18
10/1/2013,40.44,18.11,28.96,8.54,1.2
9/1/2013,40.8,18.36,28.56,8.52,1.16
8/1/2013,42.78,19.25,25.55,8.57,1.16
7/1/2013,43.12,20.09,24.53,8.59,1.1
6/1/2013,42.68,20.01,25.44,8.39,1.03
5/1/2013,41.38,19.76,27.72,7.96,1
4/1/2013,39.15,20.06,29.71,8,1.01
3/1/2013,38.07,20.87,29.3,8.5,1.17
2/1/2013,37.09,21.34,29.82,8.6,1.22
1/1/2013,36.52,21.42,30.71,8.29,1.19
12/1/2012,36.42,21.89,30.78,7.92,1.26
11/1/2012,35.72,22.37,31.23,7.83,1.39
10/1/2012,34.77,22.32,32.08,7.81,1.63
9/1/2012,34.21,22.4,32.7,7.7,1.61
8/1/2012,33.59,22.85,32.85,7.39,1.63
7/1/2012,33.81,23.73,32.04,7.12,1.72
6/1/2012,32.76,24.56,32.31,7,1.77
5/1/2012,32.43,25.55,32.12,7.09,1.77
4/1/2012,31.23,24.87,34.07,7.13,1.72
3/1/2012,30.87,24.98,34.81,6.72,1.78
2/1/2012,29.84,24.88,35.75,6.77,2.02
1/1/2012,28.4,24.78,37.45,6.62,1.95
12/1/2011,27.27,25.27,38.65,6.08,1.98
11/1/2011,25.69,25.23,40.63,5.92,1.82
10/1/2011,25,26.39,40.18,5.93,1.81
9/1/2011,23.61,26.79,41.66,5.6,1.72
8/1/2011,23.16,27.49,41.89,5.19,1.67
7/1/2011,22.14,27.95,42.45,5.17,1.66
6/1/2011,20.65,28.34,43.58,5.07,1.74
5/1/2011,19.36,29.29,43.87,5.01,1.84
4/1/2011,18.29,29.67,44.52,5.04,1.91
3/1/2011,17.37,29.98,45.11,5.02,1.97
2/1/2011,16.54,30.37,45.44,5.08,2
1/1/2011,15.68,30.68,46,5.09,2
12/1/2010,14.85,30.76,46.94,4.79,2.07
11/1/2010,13.35,31.17,48.16,4.7,2.01
10/1/2010,12.39,31.24,49.21,4.56,2
9/1/2010,11.54,31.5,49.87,4.42,2.03
8/1/2010,10.76,31.09,51.34,4.23,1.88
7/1/2010,9.88,30.69,52.68,4.09,1.91
6/1/2010,9.24,31.15,52.86,4.07,1.91
5/1/2010,8.61,31.64,52.77,4.14,1.96
4/1/2010,8.06,31.74,53.26,4.23,1.82
3/1/2010,7.29,31.27,54.44,4.16,1.97
2/1/2010,6.72,31.82,54.5,4.08,1.97
1/1/2010,6.04,31.64,55.25,3.76,2
12/1/2009,5.45,31.97,55.72,3.48,2.06
11/1/2009,4.66,32.21,56.57,3.67,2.02
10/1/2009,4.17,31.82,57.96,3.47,1.88
9/1/2009,3.69,31.34,58.37,3.28,2.62
8/1/2009,3.38,31.28,58.69,3.25,2.67
7/1/2009,3.01,30.5,60.11,3.02,2.64
6/1/2009,2.82,30.33,59.49,2.93,3.36
5/1/2009,2.42,28.75,62.09,2.65,3.23
4/1/2009,2.07,29.67,61.88,2.75,2.96
3/1/2009,1.73,29.4,62.52,2.73,2.94
2/1/2009,1.52,27.85,64.43,2.59,2.95
1/1/2009,1.38,27.03,65.41,2.57,2.92
12/1/2008,1.21,25.23,67.84,2.41,2.83
11/1/2008,0.93,25.27,68.14,2.49,3.01
10/1/2008,1.02,25.54,67.68,2.91,2.69
9/1/2008,1.03,25.77,67.16,3,2.86
8/1/2008,0,26.08,68.91,2.99,1.83
7/1/2008,0,26.14,68.57,3.3,1.78
