date,Chrome,Firefox,Internet Explorer,Safari,Opera
3/1/2015,43.9,14.6,16.1,15.7,3.2
2/1/2015,42.8,14.8,16.9,15.5,3.2
1/1/2015,43,15.1,17.2,15.2,3.1
12/1/2014,42.5,15.6,17.6,14.6,3.2
11/1/2014,42.7,16.4,15.8,15,3.3
10/1/2014,40.8,16,17.9,15.2,3.3
9/1/2014,40,16.3,18.2,15.4,3.2
8/1/2014,38,15.5,21.1,15.5,3.2
7/1/2014,38.5,15.2,21.2,15.4,3.1
6/1/2014,38,16.8,19,16,3.2
5/1/2014,37,17.7,19.1,16.7,3
4/1/2014,37.1,18.5,18,17.1,2.8
3/1/2014,37.2,18.1,18.3,16.6,2.9
2/1/2014,36.4,18.3,19.6,16.7,2.6
1/1/2014,34.2,18.3,20.3,17.8,2.7
12/1/2013,33.7,18,21.9,16.9,2.8
11/1/2013,34.1,17.1,26.9,13.6,2.4
10/1/2013,32,16.8,29.1,13.7,2.4
9/1/2013,32.6,17.5,26.2,14.9,2.5
8/1/2013,32.8,18.5,24.9,14.7,2.5
7/1/2013,33.2,19,22.8,15.1,2.4
6/1/2013,32.8,19.7,21.9,15.5,2.2
5/1/2013,33,19.6,22.5,15.2,2.2
4/1/2013,31.5,20.7,23.1,15.1,2.3
3/1/2013,30.3,19.4,24.6,16.3,2.3
2/1/2013,29.3,19.7,26.7,15.4,2.4
1/1/2013,30,20,27.6,14.8,2.3
12/1/2012,29.5,20.2,27.8,14.8,2.5
11/1/2012,29.3,21.3,28,14.3,2.3
10/1/2012,29.1,22.1,27.4,14.1,2.4
9/1/2012,28.4,22.9,27.6,14.1,2.3
8/1/2012,28.3,22.8,27.6,14.4,2.2
7/1/2012,28.3,23.1,28.6,13.3,2.2
6/1/2012,28.1,23.1,30,6.5,2.4
5/1/2012,27.4,24.2,29.9,6.5,2.4
4/1/2012,26.7,24.9,29.9,6.7,2.2
3/1/2012,26.1,25.1,31,6.6,2.2
2/1/2012,25.8,25.1,31.6,6.7,2.3
1/1/2012,25.3,25.5,31.7,6.7,2.5
12/1/2011,24.6,26.2,32.1,6.5,2.7
11/1/2011,23.4,26.2,33.8,6.4,2.5
10/1/2011,22.6,26.7,35,6.5,2.4
9/1/2011,21.4,26.7,36,6.2,2.4
8/1/2011,20.7,27.2,36.2,6.3,2.3
7/1/2011,20,28.2,36.3,6.5,2.4
6/1/2011,19.1,28.8,37.1,6.4,2.5
5/1/2011,17.3,29.1,38.8,6.6,2.2
4/1/2011,16.1,30.4,38.9,6.4,1.4
3/1/2011,15.8,30.5,39.9,6.1,2
2/1/2011,15.3,30.7,40.6,6,2
1/1/2011,14.5,31.6,40.6,6,2
12/1/2010,13.8,30.9,42.1,6,2.1
11/1/2010,13.1,32,42.5,6,2
10/1/2010,12.5,31.5,44,5.8,2
9/1/2010,11.9,31.7,45.3,5.8,1.7
8/1/2010,11.4,33.2,46.1,4.5,1.5
7/1/2010,10.6,34,48,2.1,2.3
6/1/2010,9.6,33.4,47.8,3.7,2.2
5/1/2010,8.7,33.3,47.3,5.5,2.1
4/1/2010,8.3,32.5,48.2,5.5,2.1
3/1/2010,7.5,33,48.8,5.6,2.1
2/1/2010,6.9,32.7,49.6,5.7,2.1
1/1/2010,6.4,32.8,50.4,5.5,2.1
12/1/2009,5.6,32.8,51.1,5.2,2.2
11/1/2009,4.8,32.9,52.5,5.4,1.2
10/1/2009,4.3,33,52.6,5.3,2
9/1/2009,3.9,32.9,53.3,5.2,2.1
8/1/2009,3.7,32.9,53.8,5,1.9
7/1/2009,3.4,32.4,54.3,4.8,1.8
6/1/2009,1.1,32.4,58.4,3.3,2
5/1/2009,0.8,32.2,58.9,3.2,2
4/1/2009,0.5,32.5,59.1,3,2.1
3/1/2009,0.3,32.4,59.5,2.8,2.1
2/1/2009,0.2,32.3,59.9,2.8,2.1
1/1/2009,0.2,32,60.1,2.8,2
12/1/2008,0.2,31.9,60.1,2.9,2.1
11/1/2008,0.2,31.5,60.3,3.1,2
10/1/2008,0.4,31.2,60.5,3.1,2
9/1/2008,0.3,33.3,58.8,2.8,2.1
8/1/2008,0,32.3,60.3,2.5,2.1
7/1/2008,0,30.3,62,2.5,2.1
6/1/2008,0,29.5,62.7,2.6,2
5/1/2008,0,29.3,62.7,2.7,2
4/1/2008,0,29.2,62.7,2.8,2
3/1/2008,0,29.1,62.7,2.8,2
2/1/2008,0,29,62.7,2.9,2
1/1/2008,0,29,62.8,2.8,2
12/1/2007,0,28.3,63.5,2.6,2
11/1/2007,0,28.1,63.7,2.6,2
10/1/2007,0,26.5,66.2,2.3,1.8
9/1/2007,0,25.8,67.2,2.1,1.8
8/1/2007,0,25.7,67.3,2.1,1.8
7/1/2007,0,25.3,67.5,2.2,1.8
6/1/2007,0,25.3,67.4,2.3,1.8
5/1/2007,0,24.9,67.6,2.4,1.8
