date,Chrome,Firefox,Internet Explorer,Safari,Opera
3/1/2015,46.61,20.54,25.96,5.95,0.94
2/1/2015,45.37,20.52,26.48,6.66,0.97
1/1/2015,44.38,20.05,26.61,7.86,1.1
12/1/2014,45.3,19.22,24.45,9.81,1.23
11/1/2014,45.9,20.52,23.33,9,1.25
10/1/2014,45.32,20.27,24.44,8.76,1.22
9/1/2014,46.93,19.35,22.98,9.11,1.62
8/1/2014,47.03,20.08,17.62,13.57,1.7
7/1/2014,46.08,19.48,19.58,13.37,1.49
6/1/2014,47.61,20.67,17.27,13.06,1.4
5/1/2014,49.63,20.5,16.34,11.59,1.93
4/1/2014,47.15,21.81,17.46,11.74,1.84
3/1/2014,45.55,21.97,19.9,10.6,1.98
2/1/2014,44.93,22.12,20.74,10.45,1.77
1/1/2014,44.36,21.95,20.94,10.83,1.93
12/1/2013,49.78,19.81,20.17,8.38,1.87
11/1/2013,52.17,18.62,22.58,5.06,1.58
10/1/2013,50.66,18.4,24.77,4.5,1.66
9/1/2013,46.02,19.92,26.58,5.46,2.01
8/1/2013,46.95,18.89,25.6,5.2,3.36
7/1/2013,46.27,19.69,24.04,5.87,4.13
6/1/2013,45.87,19.91,24.52,4.91,4.79
5/1/2013,46.42,18.7,25.84,4.51,4.52
4/1/2013,46.13,18.83,26.55,4.63,3.86
3/1/2013,45.27,19.42,26.32,4.99,4
2/1/2013,44.4,20.43,27.52,4.84,2.81
1/1/2013,41.75,21.76,28.49,5.14,2.87
12/1/2012,36.69,25.35,28.79,6.1,3.08
11/1/2012,36.22,25.37,29.64,5.96,2.81
10/1/2012,35.86,25.73,29.76,5.92,2.74
9/1/2012,34.01,25.86,31.67,5.82,2.64
8/1/2012,32.55,25.7,33.66,5.56,2.53
7/1/2012,31.83,25.92,34.2,5.52,2.53
6/1/2012,30.91,25.62,35.28,5.48,2.71
5/1/2012,28.88,26.92,35.18,6.02,3
4/1/2012,27.68,27.7,35.2,6.37,3.05
3/1/2012,26.85,27.84,36.07,6.15,3.1
2/1/2012,26.37,27.74,36.52,6.22,3.15
1/1/2012,25.18,28.06,36.47,6.31,3.98
12/1/2011,24.52,29.06,36.38,6.64,3.39
11/1/2011,23.43,29.03,37.87,6.27,3.39
10/1/2011,22.43,28.89,38.94,6.19,3.56
9/1/2011,21.49,29.17,40.48,6.05,2.8
8/1/2011,20.44,30.25,40.74,5.83,2.73
7/1/2011,19.32,30.4,41.28,6.06,2.94
6/1/2011,18.53,28.48,42.91,6.07,4.01
5/1/2011,17.32,28.69,43.82,6.14,4.04
4/1/2011,16.31,29.71,42.92,6.55,4.51
3/1/2011,14.87,29.76,45.4,6.17,3.8
2/1/2011,13.83,30.39,45.82,6.09,3.87
1/1/2011,12.9,31.51,45.62,6.07,3.9
12/1/2010,12.22,31.5,46.04,6.23,4.01
11/1/2010,11.08,31.4,47.86,6.04,3.63
10/1/2010,10.29,31.4,48.83,5.92,3.57
9/1/2010,9.63,31.38,49.7,5.87,3.41
8/1/2010,8.96,31.62,50.63,5.69,3.09
7/1/2010,8.02,32.46,50.92,5.52,3.08
6/1/2010,7.85,32.81,50.44,5.26,3.64
5/1/2010,7.33,32.67,51.06,5.28,3.66
4/1/2010,6.73,32.58,51.72,5.38,3.59
3/1/2010,6.05,32.02,53.05,5.41,3.47
2/1/2010,5.55,32.56,52.89,5.54,3.46
1/1/2010,5.06,32.48,53.71,5.4,3.35
12/1/2009,4.56,31.97,54.85,5.4,3.23
11/1/2009,3.89,31.24,56.76,5.17,2.94
10/1/2009,3.56,31.47,57.07,5.03,2.88
9/1/2009,3.25,31.02,58.09,4.92,2.73
8/1/2009,3.1,31.6,58.07,4.77,2.45
7/1/2009,2.89,32.93,56.98,4.71,2.49
6/1/2009,2.54,32.01,58.53,4.2,2.71
5/1/2009,2.36,31.56,59.43,3.9,2.75
4/1/2009,2,31.84,59.49,4,2.66
