Chrome,Internet Explorer,Firefox,Opera,Week
12,1,4,4,2015-07-05 - 2015-07-11
16,1,5,5,2015-07-12 - 2015-07-18
13,1,4,4,2015-07-19 - 2015-07-25
12,1,4,5,2015-06-07 - 2015-06-13
12,1,4,4,2015-06-14 - 2015-06-20
12,1,4,4,2015-06-21 - 2015-06-27
11,1,4,4,2015-06-28 - 2015-07-04
13,1,4,4,2015-05-03 - 2015-05-09
12,1,4,4,2015-05-10 - 2015-05-16
13,1,4,4,2015-05-17 - 2015-05-23
13,1,4,5,2015-05-24 - 2015-05-30
12,1,4,4,2015-05-31 - 2015-06-06
12,1,4,4,2015-04-05 - 2015-04-11
13,1,4,4,2015-04-12 - 2015-04-18
13,1,4,5,2015-04-19 - 2015-04-25
13,1,4,4,2015-04-26 - 2015-05-02
11,1,4,4,2015-03-01 - 2015-03-07
12,1,4,4,2015-03-08 - 2015-03-14
12,2,4,4,2015-03-15 - 2015-03-21
12,1,4,4,2015-03-22 - 2015-03-28
12,1,5,4,2015-03-29 - 2015-04-04
13,1,5,5,2015-02-01 - 2015-02-07
12,1,4,5,2015-02-08 - 2015-02-14
12,1,4,4,2015-02-15 - 2015-02-21
12,1,5,5,2015-02-22 - 2015-02-28
14,1,4,5,2015-01-04 - 2015-01-10
14,1,4,5,2015-01-11 - 2015-01-17
12,1,4,5,2015-01-18 - 2015-01-24
13,1,5,5,2015-01-25 - 2015-01-31
13,1,4,5,2014-12-07 - 2014-12-13
12,1,4,5,2014-12-14 - 2014-12-20
13,1,4,5,2014-12-21 - 2014-12-27
13,1,4,5,2014-12-28 - 2015-01-03
14,1,5,6,2014-11-02 - 2014-11-08
13,1,5,6,2014-11-09 - 2014-11-15
13,1,5,6,2014-11-16 - 2014-11-22
13,1,5,6,2014-11-23 - 2014-11-29
12,1,5,5,2014-11-30 - 2014-12-06
13,1,5,6,2014-10-05 - 2014-10-11
14,1,5,6,2014-10-12 - 2014-10-18
14,1,5,6,2014-10-19 - 2014-10-25
15,1,5,6,2014-10-26 - 2014-11-01
15,1,5,7,2014-09-07 - 2014-09-13
14,1,5,7,2014-09-14 - 2014-09-20
13,1,5,7,2014-09-21 - 2014-09-27
13,1,5,6,2014-09-28 - 2014-10-04
13,1,5,6,2014-08-03 - 2014-08-09
14,1,5,6,2014-08-10 - 2014-08-16
14,1,5,7,2014-08-17 - 2014-08-23
15,1,5,7,2014-08-24 - 2014-08-30
15,1,5,6,2014-08-31 - 2014-09-06
13,2,5,7,2014-07-06 - 2014-07-12
13,1,5,6,2014-07-13 - 2014-07-19
13,1,5,6,2014-07-20 - 2014-07-26
13,1,5,6,2014-07-27 - 2014-08-02
14,2,5,7,2014-06-01 - 2014-06-07
14,1,5,7,2014-06-08 - 2014-06-14
15,1,5,6,2014-06-15 - 2014-06-21
14,1,5,7,2014-06-22 - 2014-06-28
13,1,5,6,2014-06-29 - 2014-07-05
11,1,6,7,2014-05-04 - 2014-05-10
13,1,6,6,2014-05-11 - 2014-05-17
14,1,5,6,2014-05-18 - 2014-05-24
12,1,5,6,2014-05-25 - 2014-05-31
12,2,5,6,2014-04-06 - 2014-04-12
13,1,5,6,2014-04-13 - 2014-04-19
12,1,5,7,2014-04-20 - 2014-04-26
13,1,6,7,2014-04-27 - 2014-05-03
13,1,5,7,2014-03-02 - 2014-03-08
13,1,5,8,2014-03-09 - 2014-03-15
13,1,5,7,2014-03-16 - 2014-03-22
14,2,6,7,2014-03-23 - 2014-03-29
12,2,5,6,2014-03-30 - 2014-04-05
15,2,6,7,2014-02-02 - 2014-02-08
13,1,6,7,2014-02-09 - 2014-02-15
14,2,5,6,2014-02-16 - 2014-02-22
14,1,6,7,2014-02-23 - 2014-03-01
16,2,6,8,2014-01-05 - 2014-01-11
16,2,6,8,2014-01-12 - 2014-01-18
16,1,6,8,2014-01-19 - 2014-01-25
16,2,6,8,2014-01-26 - 2014-02-01
14,2,6,8,2013-12-01 - 2013-12-07
14,2,7,8,2013-12-08 - 2013-12-14
13,2,6,8,2013-12-15 - 2013-12-21
