date,total,Android Browser,C iOS,C Plus,Dolfin,IE 6,IE 7,IE 8,IE 9,IE 10,IE 11,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF 10,FF 11,FF 12,FF 13,FF 14,FF 15,FF 16,FF 17,FF,Mozilla 1,C,C,C Mail.ru,S Mobile,Nokia Browser,O Blink,O 10,O 11,O 12,O 15,O 9,O Mini,O Mobile,O Next,Others,S 1,S 2,S 4,S 5,S 6,S 7,UCWEB,iOS Browser,Yandex.Browser,C Yandex
Jan  2009,98.06,,,,,22.43,27.88,0.55,,,,3.29,17.48,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,17.15,6.66,,,0.67,,0.72,,,,,,,,
Feb  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov  2009,98.42,,,,,11.66,18.18,10.67,,,,0.9,22.81,,,,,,,,,,,,,,,,,2.8,,,,,,11.13,,,,12.38,7.29,,,0.6,,,,,,,,,,
Dec  2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan  2010,98.5,,,,,9.3,16.32,11.86,,,,0.71,23.64,,,,,,,,,,,,,,,,,3.41,,,,,,14.82,,,,10.11,7.63,,,0.7,,,,,,,,,,
Feb  2010,98.48,,,,,9.34,15.63,12.74,,,,0.66,23.63,,,,,,,,,,,,,,,,,3.7,,,,,,15.24,,,,9.03,7.81,,,0.7,,,,,,,,,,
Mar  2010,98.49,,,,,8.81,14.83,13.25,,,,0.6,24.28,,,,,,,,,,,,,,,,,4,,,,,,16.15,,,,8.12,7.8,,,0.65,,,,,,,,,,
Apr  2010,98.51,,,,,8.33,14.06,13.5,,,,0.55,25.31,,,,,,,,,,,,,,,,,4.39,,,,,,16.82,,,,7.13,7.79,,,0.63,,,,,,,,,,
May  2010,98.07,,,,,7.53,13.4,13.69,,,,,25.97,,,,,,,,,,,,,,,,,4.89,,,,,,17.61,,,,6.52,7.81,,,0.65,,,,,,,,,,
Jun  2010,98.06,,,,,7.24,12.47,14.47,,,,,26.35,,,,,,,,,,,,,,,,,5.52,,,,,,17.59,,,,5.92,7.78,,,0.72,,,,,,,,,,
Jul  2010,98.03,,,,,6.81,11.86,15.05,,,,,26.38,,,,,,,,,,,,,,,,,5.97,,,,,,17.91,,,,5.26,8.25,,,0.54,,,,,,,,,,
Aug  2010,98.01,,,,,6.32,11.4,15.7,,,,,26.22,,,,,,,,,,,,,,,,,6.4,,,,,,18.37,,,,4.8,8.28,,,0.52,,,,,,,,,,
Sep  2010,98.02,,,,,5.78,11.06,15.77,,,,,25.86,,,,,,,,,,,,,,,,,6.66,,,,,,19.83,,,,4.04,8.44,,,0.58,,,,,,,,,,
Oct  2010,97.87,,,,,5.28,10.63,16.02,,,,,25.64,,,,,,,,,,,,,,,,,7.29,,,,,,20.57,,,,3.32,8.54,,,0.58,,,,,,,,,,
Nov  2010,97.72,,,,,5.03,10.2,16.2,,,,,25.56,,,,,,,,,,,,,,,,,7.94,,,,,,20.85,,,,2.87,8.49,,,0.58,,,,,,,,,,
Dec  2010,97.5,,,,,4.53,9.39,16.33,,,,,25.73,,,,,,,,,,,,,,,,,8.77,,,,,,16.66,4.49,,,2.54,8.46,,,0.6,,,,,,,,,,
Jan  2011,98.04,,,,,3.76,8.61,16.45,,,,,25.87,,,,,,,,,,,,,,,,0.51,9.74,,,,,,7.44,13.8,,,2.26,8.93,,,0.67,,,,,,,,,,
Feb  2011,97.49,,,,,3.63,8.1,16.65,,,,,26.12,,,,,,,,,,,,,,,,,10.58,,,,,,5.81,15.18,,,1.92,8.86,,,0.64,,,,,,,,,,
Mar  2011,98.21,,,,,3.25,7.34,16.32,,,,,25.02,1.59,,,,,,,,,,,,,,,0.54,11.64,,,,,,4.78,15.8,,,1.55,9.47,,,0.91,,,,,,,,,,
Apr  2011,99.3,,,,,2.83,6.45,14.84,1.23,,,,19.18,6.09,,,,,,,,,,,,,,,0.74,12.17,,,,,,3.99,15.58,,,1.22,11.54,,,2.01,,,0.67,0.76,,,,,,
May  2011,99.24,,,,,2.54,6.02,13.36,2.19,,,,13.4,11.19,,,,,,,,,,,,,,,0.98,12.7,,,,,,3.41,15.83,,,0.99,11.57,,,2.14,,,1.06,1.86,,,,,,
Jun  2011,99.29,,,,,2.37,5.61,12.5,2.75,,,,10.55,11.79,1.84,,,,,,,,,,,,,,1.09,13.28,,,,,,3.08,16.04,,,0.88,12.12,,,2.24,,,1.13,2.02,,,,,,
Jul  2011,99.17,,,,,2.12,5.13,12.09,3.11,,,,9.36,3.38,10.79,,,,,,,,,,,,,,1.2,13.93,,,,,,2.66,15.9,,,0.79,12.92,,,2.33,,,1.25,2.21,,,,,,
Aug  2011,99.22,,,,,1.94,4.88,11.42,3.27,,,,8.59,2.1,8.49,4.28,,,,,,,,,,,,,1.26,14.74,,,,,,2.39,16.08,,,0.72,12.93,,,2.31,,,1.38,2.44,,,,,,
Sep  2011,98.86,,,,,1.81,4.85,10.77,3.48,,,,7.36,1.5,1.86,11.83,,,,,,,,,,,,,1.28,15.97,,,,,,2.18,16.35,,,0.65,12.67,,,2.18,,,1.5,2.62,,,,,,
Oct  2011,99.16,,,,,1.61,4.69,10.2,3.69,,,,6.52,1.15,1.13,3.69,9.55,,,,,,,,,,,,1.36,17.07,,,,,,1.99,16.69,,,0.58,12.69,,,2.2,,,1.58,2.77,,,,,,
Nov  2011,99.25,,,,,1.46,4.41,9.46,3.89,,,,5.68,0.95,0.83,1.61,6.25,5.56,,,,,,,,,,,1.39,17.84,,,,,,1.87,17.34,,,0.53,13.1,,,2.67,,,1.63,2.78,,,,,,
Dec  2011,97.48,,,,,1.23,3.46,8.88,4.23,,,,4.8,0.81,0.67,1.12,1.36,11.37,,,,,,,,,,,1.43,,18.46,,,,,1.69,17.39,,,,13.23,,,2.75,,,1.77,2.83,,,,,,
Jan  2012,98.6,,,,,1.04,3.09,8.14,4.34,,,,4.13,0.69,0.56,0.85,0.91,4.68,8.02,,,,,,,,,,1.41,,18.54,1.28,,,,1.53,17.55,,,,13.48,,,2.62,,,1.95,2.62,,,,,,1.17
Feb  2012,98.42,,,,,1.03,2.85,7.82,4.64,,,,,0.59,,0.62,0.65,1.64,4.55,6.9,,,,,,,,3.94,1.59,,19.03,1.68,,,,1.35,17.29,,,,13.29,,,2.61,,,2.08,3.1,,,,,,1.17
Mar  2012,97.39,,,,,0.9,2.56,6.67,5.36,,,,,,,,,1.05,1.71,7.28,3.56,,,,,,,3.9,1.93,,19.67,1.61,,,,1.21,16.95,,,,13.19,,,2.59,,,2.6,3.39,,,,,,1.26
Apr  2012,97.91,,,,,0.78,2.31,6.13,5.44,,,,,,,,,0.75,1.1,1.49,9.9,0.55,,,,,,3.82,2.46,,20.07,1.69,,,,1.11,16.62,,,,13.4,,,2.61,,,2.91,3.47,,,,,,1.3
May  2012,97.92,,,,,0.7,2.16,5.84,5.46,,,,,,,,,0.6,0.86,1.08,2.62,9.01,,,,,,3.3,2.67,,20.58,1.76,,,,1.03,16.38,,,,13.27,,,2.55,,,3.24,3.52,,,,,,1.29
