date,Android Browser,Android Browser 2,C 1,C 2,C 3,C 4,С 5,С 6,С 7,С 8,С 9,C 10,C 11,C 12,C 13,C 14,C 15,C 16,C,FF 1,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF,Mozilla,IE Mobile,IE 6,IE 7,IE 8,IE 9,IE,O 10,O 11,O 9,O,O Mini 3,O Mini 4,O Mini 5,O Mini 6,O Mini,O Mobile,S 525,S 530,S 531,S 533,S 534,S 6533,S 7534,S,UCWEB,WebKit
Jan  2009,,,1.28,,,,,,,,,,,,,,,,,0.57,4.22,17.49,,,,,,,,,,23.84,28.61,0.92,,,,,14.58,,0.6,2.77,,,,,1.48,,,,,,,,,
Feb  2009,,,1.28,,,,,,,,,,,,,,,,,0.54,3.4,18.88,,,,,,,,,,23.18,28.55,1.1,,,,,14.8,,0.55,2.76,,,,,1.44,,,,,,,,,
Mar  2009,,,1.43,,,,,,,,,,,,,,,,,,2.92,19.93,,,,,,,,,,21.44,27.83,2.53,,,0.62,,14.93,,0.51,2.83,,,,,1.33,,,,,,,,,
Apr  2009,,,1.53,,,,,,,,,,,,,,,,,,2.56,20.36,,,,,,,,,,20.18,25.22,5.92,,,0.77,,15.13,,,2.88,,,,,1.3,,,,,,,,,
May  2009,,,1.62,,,,,,,,,,,,,,,,,,2.29,20.74,,,,,,,,,,19.11,23.03,8.42,,,0.83,,15.12,,,3.06,,,,,1.28,,,,,,,,,
Jun  2009,,,0.55,1.77,,,,,,,,,,,,,,,,,1.99,21.33,,,,,,,,,,18.25,20.6,11.23,,,0.53,,15.3,,,3.01,,,,,1.03,0.56,,,,,,,,
Jul  2009,,,,2,,,,,,,,,,,,,,,,,1.41,22.51,,,,,,,,,,17.1,17.89,10.9,,,,,21.17,,,2.59,,,,,,0.64,,,,,,,,
Aug  2009,,,,2.11,,,,,,,,,,,,,,,,,1.28,23.33,,,,,,,,,,15.66,16.65,12.18,,,,,21.63,,,2.76,,,,,,0.53,,,,,,,,
Sep  2009,,,,1.38,0.96,,,,,,,,,,,,,,,,1.18,23.29,,,,,,,,,,14.92,15.76,12.92,,,6.08,,16.93,,,2.74,,,,,,,0.62,,,,,,,
Oct  2009,,,,,2.43,,,,,,,,,,,,,,,,1.08,23.69,,,,,,,,,,13.83,14.94,13.89,,,9.77,,13.8,,,2.68,,,,,,,0.74,,,,,,,
Nov  2009,,,,,2.65,,,,,,,,,,,,,,,,0.96,24.31,,,,,,,,,,12.62,13.99,14.73,,,12.41,,11.74,,,2.6,,,,,,,0.83,,,,,,,
Dec  2009,,,,,2.88,,,,,,,,,,,,,,,,0.83,24.38,,,,,,,,,,11.97,13.31,15.46,,,14.24,,10.3,,,2.55,,,,,,,0.84,,,,,,,
Jan  2010,,,,,3.07,0.67,,,,,,,,,,,,,,,0.77,25.12,,,,,,,,,,10.62,12.46,16.57,,,15.28,,9.18,,,2.4,,,,,,,0.92,,,,,,,
Feb  2010,,,,,,3.58,,,,,,,,,,,,,,,0.71,25.31,,,,,,,,,,10.53,11.72,17.06,,,16.15,,8.39,,,2.34,,,,,,,0.93,,,,,,,
Mar  2010,,,,,,3.92,,,,,,,,,,,,,,,0.65,24.65,,,,,,,,,,10.16,11.03,17.8,,,17.41,,7.7,,,2.35,,,,,,,0.98,,,,,,,
Apr  2010,,,,,,4.16,,,,,,,,,,,,,,,0.59,25.31,,,,,,,,,,9.63,10.39,18.12,,,18.08,,6.85,,,2.12,0.52,,,,,,1.02,,,,,,,
May  2010,,,,,,4.25,0.72,,,,,,,,,,,,,,0.54,25.52,,,,,,,,,,8.89,9.88,18.75,,,18.8,,6.25,,,2.05,0.67,,,,,,1.04,,,,,,,
Jun  2010,,,,,,0.6,4.83,,,,,,,,,,,,,,0.51,25.64,,,,,,,,,,8.72,9.33,18.98,,,18.81,,5.72,,,1.97,0.81,,,,,,0.75,,,,,,,
Jul  2010,,,,,,,5.51,,,,,,,,,,,,,,,25.73,,,,,,,,,,8.27,8.77,19.49,,,19.13,,5.1,,,1.9,0.95,,,,,,,0.76,,,,,,
Aug  2010,,,,,,,5.84,,,,,,,,,,,,,,,27.3,,,,,,,,,,7.38,8.09,19.52,,,19.42,,4.6,,,1.74,1.01,,,,,,,0.86,,,,,,
